ID	TITLE	CATEGORY
59266	Jennifer Lopez Drops F-Bomb Whilst Judging 'American Idol' - Live!	Entertainment
76495	GRAINS-Corn, soybeans hit multi-month highs on US stocks data	Business
85490	Apple Loses Patent-Use Bid in $2 Billion Samsung Trial (1)	Science and Technology
106	McDonald's Blames Weak Sales On Weather	Business
27243	George RR Martin Considering 'Game Of Thrones' Movies	Entertainment
333057	Garth Ancier Counter Sues Michael Egan Over Sexual Abuse Claims	Entertainment
211035	'Community' Creator Dan Harmon Lists Some Shows To Fill The Void	Entertainment
146279	'The Cripple of Inishmaan:' Daniel Radcliffe Stares at Cows	Entertainment
242832	Oscar nominee Angela Bassett to direct Lifetime biopic of her late friend Whitney  ...	Entertainment
8185	Two Stem-Cell Studies Face Retraction on Researcher Doubt	Health
11326	Kristen Bell gets barraged by outrageous movie pitches from 2DayFM's Sophie  ...	Entertainment
256200	Median pay for CEOs rise above $10m for the first time	Business
251042	New Meteor Shower Thrills Stargazers Despite Low 'Shooting Star' Count  ...	Science and Technology
159191	Amazon's Sales Satisfy the Street	Business
302813	CORRECTED-US regulator says investigates Chrysler over ignition switches	Science and Technology
53208	Defining the Breakup and Consciously Uncoupling: Paltrow and Martin	Entertainment
404181	Drew Barrymore's half sister did NOT take her life, insists her brother, but died  ...	Entertainment
235070	Flipkart to Buy Myntra to Widen Lead Over Amazon in India (1)	Business
321376	Instagram North Korea: Incredible, haunting images that give a rare glimpse  ...	Entertainment
128039	UPDATE 2-Irish court convicts 2 Anglo Irish bankers of illegal lending	Business
225870	Chinese Spying Charges Come After Pittsburgh Left Steel Behind	Business
221240	UPDATE 2-Ousted NY Times editor to grads: Show what you are made of	Entertainment
337243	It Seems Ben Affleck Doesn't Like Mark Ruffalo Very Much	Entertainment
398383	UPDATE 1-PG&E charged with obstruction in San Bruno natgas blast probe	Business
154539	Tori Spelling hit by claims she 'takes Vicodin and Oxycodone' amid marriage  ...	Entertainment
411818	'I'm ecstatic about what my marriage has evolved into': Jada Pinkett Smith  ...	Entertainment
332212	Siobhan Fallon Hogan - Shia Labeouf's Former Co-star Sympathises With  ...	Entertainment
61025	Ahead of the Bell: US economy-GDP	Business
174158	Microsoft Rushes to Fix Security Flaw in Explorer Browser (1)	Science and Technology
228069	Paul McCartney Virus Sees Cancellation of Japanese Shows	Entertainment
419664	Hackers send bomb threat to Sony exec's plane after shutting down Playstation  ...	Science and Technology
410075	US auto sales fall short of expectations in July	Business
304104	Bergdahl's Critics Get Congressional Setting to Air Complaints	Entertainment
74354	NHTSA chief: GM did not share critical information with US agency	Science and Technology
279687	Started Something I Couldn't Finish: Morrissey Cancels US Tour After Virus	Entertainment
281413	FDA Issues Clarification on Wood Aging of Cheese	Health
192740	Euro zone bond yields fall after Draghi flags ECB action	Business
218189	"Beyonce And Jay Z Are On The ""Run"" In New Star-Packed ""Trailer"""	Entertainment
264034	Skype Translator Means Never Having To Learn Another Language Again	Science and Technology
248879	UPDATE 2-Turkey's harrowing 'Winter Sleep' takes top prize at Cannes	Entertainment
225639	Target Just Fired The President Of Its Canadian Stores	Business
373347	Dawn is a jaw-dropping technical wonder	Entertainment
115000	Billy Joel - Billy Joel's daughter thanks fans	Entertainment
306015	Puts Shrink Amid Longest Run of Market Calm Since 1995	Business
151106	Shakira mouths the word 'f***' on live TV... after two of her singers land in the  ...	Entertainment
268905	Watch: Sun belches out radiation plume SEVEN times the size of Earth at a  ...	Science and Technology
84853	GM Investors Unshaken as Recall Cuts $3 Billion in Value	Science and Technology
128523	Weibo Is Half-Twitter as IPO May Fetch 18 Times Sales (Correct)	Business
235100	Flipkart acquires Myntra, to invest $100 mln in fashion business	Business
125375	UPDATE 2-Google Q1 revenue misses Wall Street targets	Business
237867	UPDATE 1-Putin ally expects flurry of China deals in new role	Business
298178	The holophone is almost here! Amazon does deal with AT&T to take on Apple  ...	Science and Technology
410501	RPT-UPDATE 2-China PMIs jump to multi-month highs in July, add to view  ...	Business
4881	UPDATE 1-RBS might have to leave an independent Scotland-BoE's Carney	Business
267816	US STOCKS-Futures dip, with few trading incentives	Business
11830	Keith Richards, Billy Crystal, The Fonz: The Celebrity Children's Book Author Club	Entertainment
51752	Freddie Mac Said to Plan Risk-Sharing Bonds After Debt Soars	Business
15207	Miley Cyrus' New 'Sad Kitty' Inner Lip Tattoo - Is It Permanent?	Entertainment
192838	FOREX-Dollar falls on strong euro zone data despite positive US signs	Business
38252	European Stocks Rise as Metals Gain on China; Ruble Strengthens	Business
36	Central banks must contain threats from low prices: ECB's Noyer	Business
16585	Kiwi Leads Currency Gains as Putin Speech Boosts Risk Appetite	Business
16219	REFILE-UPDATE 1-European car sales up for sixth month as economies recover	Business
125792	Ford goes to great heights as it shows off 50th anniversary Mustang on top of  ...	Science and Technology
332366	Home > Beyonce Knowles > Beyonce And Jay Z To Travel Apart?	Entertainment
106183	UPDATE 2-US court voids man's conviction for hacking celebrities' iPads	Science and Technology
65340	"Piers Morgan Finishes CNN Run With Anti-Gun Statement ""I Want More Of You  ..."	Entertainment
324447	RPT-Anchor Diane Sawyer to step down from ABC World News show	Entertainment
92076	Brendan Eich's Resignation: Did Mozilla CEO Step Down Because Of A 'Gay  ...	Science and Technology
54987	Miley Cyrus - New York College To Offer Miley Cyrus Course	Entertainment
18840	Meeting Between Russell Crowe And Pope Francis Was Never On The Agenda	Entertainment
147053	UPDATE 1-Novartis transforms drug business via deals with GSK and Lilly	Business
180615	OECD cuts global growth outlook as developing economies falter	Business
49424	New 'Indiana Jones' Rumor Has Bradley Cooper Possibly Replacing Harrison Ford	Entertainment
263599	Wells Fargo Can't Shake LA Lawsuit Over Predatory Loans	Business
183247	Danica McKellar is eliminated from Dancing With The stars after garnering two  ...	Entertainment
140522	Lamar Odom will agree to divorce Khloe Kardashian in 'next several weeks'	Entertainment
316812	Managing Michael Jackson and More: A Chat with Ron Weisner, Plus William  ...	Entertainment
364331	CORRECTED-FOREX-Dollar edges higher against euro, Fed meeting in focus	Business
293978	UPDATE 5-GM safety crisis grows with recall of 3 mln more cars for ignition issues	Business
